Cell,Lon,Lat,ANT_DIRECTION,ANT_BEAM_WIDTH,UARFCN,SC,RNC-ID,C-ID,LAC
U09441_LVI_CHR_BKV_050_U,25.95258,48.28625,50.00,65.00,10712,352,,09441,57941
U09442_LVI_CHR_BKV_175_U,25.95258,48.28625,175.00,65.00,10712,353,,09442,57941
U09443_LVI_CHR_BKV_285_U,25.95258,48.28625,285.00,65.00,10712,354,,09443,57941
U09444_LVI_CHR_BKV_050_U,25.95258,48.28625,50.00,65.00,10737,352,,09444,57941
U09445_LVI_CHR_BKV_175_U,25.95258,48.28625,175.00,65.00,10737,353,,09445,57941
U09446_LVI_CHR_BKV_285_U,25.95258,48.28625,285.00,65.00,10737,354,,09446,57941
U09447_LVI_CHR_BKV_050_U,25.95258,48.28625,50.00,65.00,10762,352,,09447,57941
U09448_LVI_CHR_BKV_175_U,25.95258,48.28625,175.00,65.00,10762,353,,09448,57941
U09449_LVI_CHR_BKV_285_U,25.95258,48.28625,285.00,65.00,10762,354,,09449,57941
U09451_LVI_CHR_FRZ_010_U,25.93319,48.27889,10.00,63.00,10712,64,,09451,57931
U09452_LVI_CHR_FRZ_145_U,25.93319,48.27889,145.00,63.00,10712,65,,09452,57931
U09453_LVI_CHR_FRZ_260_U,25.93319,48.27889,260.00,63.00,10712,66,,09453,57931
U09454_LVI_CHR_FRZ_010_U,25.93319,48.27889,10.00,63.00,10737,64,,09454,57931
U09455_LVI_CHR_FRZ_145_U,25.93319,48.27889,145.00,63.00,10737,65,,09455,57931
U09456_LVI_CHR_FRZ_260_U,25.93319,48.27889,260.00,63.00,10737,66,,09456,57931
U09457_LVI_CHR_FRZ_010_U,25.93319,48.27889,10.00,63.00,10762,64,,09457,57931
U09458_LVI_CHR_FRZ_145_U,25.93319,48.27889,145.00,63.00,10762,65,,09458,57931
U09459_LVI_CHR_FRZ_260_U,25.93319,48.27889,260.00,63.00,10762,66,,09459,57931
U09461_LVI_CHR_NLP_060_U,25.96475,48.35300,60.00,65.00,10712,50,,09461,57932
U09462_LVI_CHR_NLP_150_U,25.96475,48.35300,150.00,65.00,10712,51,,09462,57932
U09463_LVI_CHR_NLP_240_U,25.96475,48.35300,240.00,65.00,10712,52,,09463,57932
U09464_LVI_CHR_NLP_060_U,25.96475,48.35300,60.00,65.00,10737,50,,09464,57932
U09465_LVI_CHR_NLP_150_U,25.96475,48.35300,150.00,65.00,10737,51,,09465,57932
U09466_LVI_CHR_NLP_240_U,25.96475,48.35300,240.00,65.00,10737,52,,09466,57932
U09467_LVI_CHR_NLP_060_U,25.96475,48.35300,60.00,65.00,10762,50,,09467,57932
U09468_LVI_CHR_NLP_150_U,25.96475,48.35300,150.00,65.00,10762,51,,09468,57932
U09469_LVI_CHR_NLP_240_U,25.96475,48.35300,240.00,65.00,10762,52,,09469,57932
